created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,,,,,,,,,,,,,,,
Sat Aug 05 22:15:16 +0000 2023,1.68795E+18,@adearmando61 @HartaWidjaja1 @psi_id @prabowo Belum sih tunggu kl udah resmi jd capres kita liat bener udah gak apa masih tetep haha,0,0,0,0,in,1.26912E+18,1.68765E+18,gaksukaHoax,https://twitter.com/gaksukaHoax/status/1687950426652725248,,,,,,,,,,,,,,,
Sat Aug 05 22:14:15 +0000 2023,1.68795E+18,@PandoraOjo @AsambleaSV @AMuyshondt Holly cow,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:12:25 +0000 2023,1.68795E+18,@StefanAntonio__ Dompleng nama besar pak Jokowi utk kampanye,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:10:30 +0000 2023,1.68795E+18,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/C9vKsj6iCv,2,1,2,2,in,1.58378E+18,1.68795E+18,Tanduak17,https://twitter.com/Tanduak17/status/1687949225173413888,,,,,,,,,,,,,,,
Sat Aug 05 22:10:23 +0000 2023,1.68795E+18,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/8hrHYaNqdS,1,0,0,1,in,1.58378E+18,1.68795E+18,Tanduak17,https://twitter.com/Tanduak17/status/1687949194374627329,,,,,,,,,,,,,,,
Sat Aug 05 22:10:17 +0000 2023,1.68795E+18,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/CueJvCkKLF,1,0,0,1,in,1.58378E+18,1.68795E+18,Tanduak17,https://twitter.com/Tanduak17/status/1687949171423326208,,,,,,,,,,,,,,,
Sat Aug 05 22:10:12 +0000 2023,1.68795E+18,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/7xXPnKjdDj,0,0,0,1,in,1.58378E+18,1.68795E+18,Tanduak17,https://twitter.com/Tanduak17/status/1687949148639956993,,,,,,,,,,,,,,,
Sat Aug 05 22:10:07 +0000 2023,1.68795E+18,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/SQ5lbL6mkT,0,0,0,1,in,1.58378E+18,1.68795E+18,Tanduak17,https://twitter.com/Tanduak17/status/1687949128662409216,,,,,,,,,,,,,,,
Sat Aug 05 22:06:05 +0000 2023,1.68795E+18,@Dennysiregar7 Menurut saya,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:05:08 +0000 2023,1.68795E+18,@Dennysiregar7 Kenapa nggak sekalian capres aja,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:05:05 +0000 2023,1.68795E+18,@guszoomadijaya @tukangtagih_ @Paltiwest Itu  ormas piaraan  salah satu capres.,0,0,0,0,in,1.55655E+18,1.68778E+18,HarnadiHidayat,https://twitter.com/HarnadiHidayat/status/1687947861189853184,,,,,,,,,,,,,,,
Sat Aug 05 22:00:46 +0000 2023,1.68795E+18,Bien raro que no puedo leer el tuit del marero de Capres,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 21:59:39 +0000 2023,1.68795E+18,@abwnews_ betul kenapa takut apalagi partai salah satu partai pendukung akan kabur menuju salah satu capres partai besar alamat kagak jadi nyapres 😂😂😂😂😂😂,0,0,0,0,in,7.64436E+17,1.6878E+18,raibagus3,https://twitter.com/raibagus3/status/1687946495885189120,,,,,,,,,,,,,,,
Sat Aug 05 21:57:54 +0000 2023,1.68795E+18,@AnakPejabat2022 @CNNIndonesia Takut bgt kalian sama jokowi bahkan di akhir masa jabatannya. Terus nyerang dengan hoax ttg ijazah. Ini hanya akan menghambat sosok capres yg kalian dukung. Sebenarnya anda adalah duri bagu mrk,0,2,1,1,in,1.41196E+18,1.68782E+18,haxnsa_,https://twitter.com/haxnsa_/status/1687946052706709504,,,,,,,,,,,,,,,
Sat Aug 05 21:39:39 +0000 2023,1.68794E+18,"JIS and TIM salah sejak lahir"" kata Sekda DKI secara jujur. Inikan hasil karya Anies yang dibanggakan tapi berantakan. Anies jadi Gubernur sejak kampanye sudah gaduh",,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 21:34:08 +0000 2023,1.68794E+18,Magic aura ma mort câpres LSDA,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 21:31:47 +0000 2023,1.68794E+18,@DavidWijaya82 @Joker_Wedoks @psi_id Dulu main star duluan tapi begitu udah di tetapkan sebagai capres ko psi nga ikut gabung kaya,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 21:29:32 +0000 2023,1.68794E+18,@goddestmess @tubirfess Rekam jejak di jkt belum tentu sama dengan mengelola Indonesia. APBD &amp  PAD DKI lebih tinggi jauh.  Tentu hal ini berlaku juga buar Ganjar dan Prabowo selaku capres lain nya.  Ane setuju dengan konsep saham yang digaungkan Anies,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 21:15:07 +0000 2023,1.68794E+18,"@aniesbaswedan @PKSejahtera @pksjabar @aheryawan Kalo untuk sekelas capres peserta nya seuprit. Tanda Nyungsep dah didepan mata""",0,0,0,0,in,1.67337E+18,1.68783E+18,InderaPard26908,https://twitter.com/InderaPard26908/status/1687935289283780608,,,,,,,,,,,,,,,
Sat Aug 05 21:11:23 +0000 2023,1.68793E+18,Habib Aboe Soal Dukungan Capres: Setiap Partai Punya Hak Masing-masing https://t.co/esknsZu9iB https://t.co/FEX7n7dO0l,0,0,0,0,in,8.52441E+17,1.68793E+18,PKSMuktiwari,https://twitter.com/PKSMuktiwari/status/1687934349692534784,,,,,,,,,,,,,,,
Sat Aug 05 21:11:16 +0000 2023,1.68793E+18,Kritisi Uji Materi Usia Capres/Cawapres,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 21:05:09 +0000 2023,1.68793E+18,@Intelcrimsv Que paso con la versión que atrás quedaron los mismos de siempre ?...después de todo siguen en CAPRES,0,0,0,0,es,1.13638E+18,1.68769E+18,Josueisa3,https://twitter.com/Josueisa3/status/1687932778514427905,,,,,,,,,,,,,,,
Sat Aug 05 21:01:52 +0000 2023,1.68793E+18,@jonnedi @arifin34533 Jika ada spanduk partai atau capres kadrun yg sobek.. pasti  kadrun  meratap merasa di dzolimi dan masuk neraka jahanam yg merobek nya 🤣🤣🤣. Betapa kebebvian mereka begitu dalam sàmpai² baligo juga di sobek,0,1,1,2,in,1.11823E+18,1.68772E+18,H4l1mun_D1n61n,https://twitter.com/H4l1mun_D1n61n/status/1687931954480685056,,,,,,,,,,,,,,,
Sat Aug 05 21:01:10 +0000 2023,1.68793E+18,@Dennysiregar7 3. Saat debat capres nnti,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 20:53:06 +0000 2023,1.68793E+18,@VIVAcoid Benar,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 20:31:39 +0000 2023,1.68792E+18,@rangerspink_ Nanti bakal ada salah satu capres yg sok jadi pahlawan nih. Wkwkkw..,0,0,0,0,in,1.60078E+18,1.68789E+18,rskanandaaa,https://twitter.com/rskanandaaa/status/1687924346663350272,,,,,,,,,,,,,,,
Sat Aug 05 20:28:01 +0000 2023,1.68792E+18,Anies Capres Mesum  #AniesGaBecus  #AniesGaBener  #AniesDidukungKoruptor  #TenggelamkanAniesBaswedan https://t.co/Ge3Hnu6dRd,0,1,0,1,ca,1.6143E+18,1.68792E+18,mocicang,https://twitter.com/mocicang/status/1687923433517322240,,,,,,,,,,,,,,,
Sat Aug 05 20:17:36 +0000 2023,1.68792E+18,Jelas sepi ,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 20:17:27 +0000 2023,1.68792E+18,Jelas sepi ,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 20:15:08 +0000 2023,1.68792E+18,Berita Prabowo :  Prabowo Subianto Subianto Capres Primadona Generasi Muda - https://t.co/RClfU7jfLn #Prabowo #BangkitBersama https://t.co/so2rq3HwTJ,0,0,0,0,es,465458275,1.68792E+18,Disuruh_Iben,https://twitter.com/Disuruh_Iben/status/1687920190594719744,,,,,,,,,,,,,,,
Sat Aug 05 20:13:49 +0000 2023,1.68792E+18,Habib Aboe Soal Dukungan Capres: Setiap Partai Punya Hak Masing-masing https://t.co/kpa32RdLyz,0,0,0,0,in,8.52447E+17,1.68792E+18,PKS_Wanasari,https://twitter.com/PKS_Wanasari/status/1687919862281302016,,,,,,,,,,,,,,,
Sat Aug 05 20:13:43 +0000 2023,1.68792E+18,Kritisi Uji Materi Usia Capres/Cawapres,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 20:09:42 +0000 2023,1.68792E+18,Woi @miduk ... Capres kau ini ya,0,0,0,0,in,1106371538,1.68792E+18,inthanlubis,https://twitter.com/inthanlubis/status/1687918825298366464,,,,,,,,,,,,,,,
Sat Aug 05 19:27:47 +0000 2023,1.68791E+18,@musniumar Kalau secara kepartaian itu mungkin² saja partai GOLKAR tidak mendukung ANIES RASYID BASWEDAN sebagai CAPRES,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 19:27:06 +0000 2023,1.68791E+18,@sebastienrama @TrinckquelPh Aux câpres 🤷🏻‍♂️,0,0,0,3,fr,1006020644,1.68789E+18,La_Pollice,https://twitter.com/La_Pollice/status/1687908104418013184,,,,,,,,,,,,,,,
Sat Aug 05 19:26:21 +0000 2023,1.68791E+18,"@MelissaArce00 @jviejis6 Y pone en su putrefacto perfil Dios primero"" típico de las 🦭 adoradoras del 🤡 de CAPRES. Les encanta apuntar",,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 19:19:36 +0000 2023,1.68791E+18,@Hudakeyy @jokowi Betul itu bang ! JOKO WIDODO sdh Jadi PRESIDEN,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 19:18:25 +0000 2023,1.68791E+18,@lek_brewok Usia CAPRES yang seharusnya di batasi,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 19:10:33 +0000 2023,1.6879E+18,Gibran Rakabuming tolak wacana  jadi capres https://t.co/EKyq1154pC,0,0,0,0,in,1.56449E+18,1.6879E+18,GraceKeana,https://twitter.com/GraceKeana/status/1687903938329333760,,,,,,,,,,,,,,,
